voivo,county,district,school_type,min_ratio,max_ratio,avg_ratio
2,1,1,Gimnazjum,1.4375,1.4375,1.4375
2,1,1,Liceum ogólnokształcące,2.210526315789474,17.166666666666668,7.5709070164662275
2,1,1,Przedszkole,6.7,19.75,11.462578492935634
2,1,1,Szkoła podstawowa,2.261904761904762,16.75,9.145473623766494
2,1,1,Technikum,7.828571428571428,12.423076923076923,9.850678507538973
2,1,2,Przedszkole,7.444444444444445,15.0,11.190972222222221
2,1,2,Szkoła podstawowa,4.380952380952381,9.1,6.771453373015873
2,1,3,Przedszkole,6.071428571428571,6.071428571428571,6.071428571428571
2,1,3,Szkoła podstawowa,4.571428571428571,11.970588235294118,7.264005602240896
2,1,4,Przedszkole,11.333333333333334,11.5,11.416666666666668
2,1,4,Szkoła podstawowa,5.473684210526316,10.507936507936508,7.284037267628598
2,1,5,Przedszkole,11.25,12.375,11.875
2,1,5,Szkoła podstawowa,5.9411764705882355,10.588235294117647,8.044066227889758
2,1,6,Gimnazjum,11.4,11.4,11.4
2,1,6,Przedszkole,8.4,10.6,9.5
2,1,6,Szkoła podstawowa,5.5,9.521739130434783,7.704710144927537
2,2,1,Gimnazjum,0.35714285714285715,6.285714285714286,3.321428571428571
2,2,1,Liceum ogólnokształcące,1.3571428571428572,6.9523809523809526,4.103174603174604
2,2,1,Przedszkole,7.363636363636363,15.166666666666666,11.524179292929292
2,2,1,Szkoła podstawowa,0.7692307692307693,11.616438356164384,6.411242103996925
2,2,1,Technikum,8.9375,8.9375,8.9375
2,2,2,Gimnazjum,2.933333333333333,2.933333333333333,2.933333333333333
2,2,2,Liceum ogólnokształcące,9.416666666666666,15.333333333333334,12.6875
2,2,2,Przedszkole,4.333333333333333,22.4,13.30546737213404
2,2,2,Szkoła podstawowa,1.7826086956521738,12.23404255319149,8.682122095820832
2,2,2,Technikum,10.428571428571429,12.625,11.517857142857144
2,2,3,Gimnazjum,0.6666666666666666,7.125,3.8958333333333335
2,2,3,Przedszkole,9.88888888888889,10.533333333333333,10.211111111111112
2,2,3,Szkoła podstawowa,1.8571428571428572,10.145833333333334,6.193974519632415
2,2,3,Technikum,7.125,7.125,7.125
2,2,4,Przedszkole,15.909090909090908,15.909090909090908,15.909090909090908
2,2,4,Szkoła podstawowa,12.763157894736842,12.763157894736842,12.763157894736842
2,2,5,Przedszkole,7.0,16.333333333333332,10.895833333333332
2,2,5,Szkoła podstawowa,0.7777777777777778,9.285714285714286,6.332478632478633
2,2,6,Przedszkole,12.307692307692308,12.307692307692308,12.307692307692308
2,2,6,Szkoła podstawowa,4.764705882352941,10.0,7.658410732714138
2,2,7,Przedszkole,8.714285714285714,8.714285714285714,8.714285714285714
2,2,7,Szkoła podstawowa,3.5,8.72,5.54
2,3,1,Gimnazjum,1.3333333333333333,8.0,4.666666666666667
2,3,1,Liceum ogólnokształcące,1.6428571428571428,51.0,13.530776438068104
2,3,1,Przedszkole,6.0,17.2,9.669492227071174
2,3,1,Szkoła podstawowa,1.1578947368421053,9.9375,7.189514031907531
2,3,1,Technikum,3.902439024390244,11.2,8.63638427521723
2,3,2,Przedszkole,6.142857142857143,6.142857142857143,6.142857142857143
2,3,2,Szkoła podstawowa,5.7727272727272725,7.551724137931035,6.53523380355277
2,3,3,Przedszkole,11.0,11.0,11.0
2,3,3,Szkoła podstawowa,6.282051282051282,6.7317073170731705,6.506879299562226
2,3,4,Przedszkole,11.333333333333334,12.6,11.966666666666667
2,3,4,Szkoła podstawowa,7.0,10.72972972972973,8.864864864864865
2,3,5,Szkoła podstawowa,10.130434782608695,10.130434782608695,10.130434782608695
2,3,6,Szkoła podstawowa,5.05,8.48,6.765000000000001
2,4,1,Gimnazjum,6.25,6.25,6.25
2,4,1,Liceum ogólnokształcące,3.875,4.428571428571429,4.151785714285714
2,4,1,Przedszkole,3.0,13.2,7.942045454545454
2,4,1,Szkoła podstawowa,4.444444444444445,10.067796610169491,7.348782858349268
2,4,1,Technikum,9.5,9.5,9.5
2,4,2,Szkoła podstawowa,6.368421052631579,7.75,7.059210526315789
2,4,3,Gimnazjum,7.5,7.5,7.5
2,4,3,Przedszkole,8.857142857142858,8.875,8.866071428571429
2,4,3,Szkoła podstawowa,7.9523809523809526,8.666666666666666,8.30952380952381
2,4,4,Liceum ogólnokształcące,1.0526315789473684,1.0526315789473684,1.0526315789473684
2,4,4,Przedszkole,12.0,12.0,12.0
2,4,4,Szkoła podstawowa,2.388888888888889,9.867924528301886,5.9744933612858135
2,5,1,Liceum ogólnokształcące,9.172413793103448,9.172413793103448,9.172413793103448
2,5,1,Przedszkole,4.0,19.8,11.537302436125964
2,5,1,Szkoła podstawowa,3.3548387096774195,11.016129032258064,8.22289801129212
2,5,1,Technikum,9.282051282051283,9.282051282051283,9.282051282051283
2,5,2,Przedszkole,11.75,11.75,11.75
2,5,2,Szkoła podstawowa,2.8214285714285716,8.567567567567568,5.642592172003938
2,5,2,Technikum,6.25,6.25,6.25
2,5,3,Przedszkole,9.5,12.857142857142858,11.178571428571429
2,5,3,Szkoła podstawowa,7.7,10.115384615384615,8.907692307692308
2,5,4,Przedszkole,12.6,12.6,12.6
2,5,4,Szkoła podstawowa,5.434782608695652,6.5,5.967391304347826
2,5,5,Przedszkole,11.0,11.0,11.0
2,5,5,Szkoła podstawowa,4.2272727272727275,15.0,7.492588932806324
2,5,6,Przedszkole,13.8,13.8,13.8
2,5,6,Szkoła podstawowa,8.208333333333334,8.272727272727273,8.240530303030305
2,6,1,Liceum ogólnokształcące,5.2727272727272725,5.2727272727272725,5.2727272727272725
2,6,1,Przedszkole,8.166666666666666,8.692307692307692,8.429487179487179
2,6,1,Szkoła podstawowa,1.9285714285714286,9.487804878048781,5.435088398503033
2,6,1,Technikum,6.533333333333333,6.533333333333333,6.533333333333333
2,6,2,Gimnazjum,7.111111111111111,7.111111111111111,7.111111111111111
2,6,2,Liceum ogólnokształcące,7.0,7.0,7.0
2,6,2,Przedszkole,8.857142857142858,11.285714285714286,10.071428571428573
2,6,2,Szkoła podstawowa,7.741935483870968,9.057692307692308,8.399813895781637
2,6,3,Gimnazjum,3.0,3.0,3.0
2,6,3,Przedszkole,7.333333333333333,11.125,9.229166666666666
2,6,3,Szkoła podstawowa,9.0,9.0,9.0
2,6,3,Technikum,3.88,3.88,3.88
2,6,4,Liceum ogólnokształcące,5.5,6.125,5.8125
2,6,4,Przedszkole,9.0,9.2,9.1
2,6,4,Szkoła podstawowa,3.735294117647059,6.285714285714286,5.048669467787114
2,6,5,Przedszkole,11.444444444444445,11.444444444444445,11.444444444444445
2,6,5,Szkoła podstawowa,9.178571428571429,9.178571428571429,9.178571428571429
2,6,6,Przedszkole,12.125,12.125,12.125
2,6,6,Szkoła podstawowa,3.473684210526316,9.966666666666667,6.132290872107806
2,6,7,Przedszkole,10.153846153846153,12.5,11.326923076923077
2,6,7,Szkoła podstawowa,3.409090909090909,8.307692307692308,6.579353270842632
2,6,8,Przedszkole,6.1,6.1,6.1
2,6,8,Szkoła podstawowa,0.6666666666666666,8.333333333333334,4.7082456140350875
2,6,9,Przedszkole,7.636363636363637,7.636363636363637,7.636363636363637
2,6,9,Szkoła podstawowa,6.117647058823529,7.823529411764706,6.803921568627451
2,7,1,Gimnazjum,2.4210526315789473,9.666666666666666,4.724210526315789
2,7,1,Liceum ogólnokształcące,6.333333333333333,8.675675675675675,7.504504504504505
2,7,1,Przedszkole,2.3333333333333335,11.263157894736842,8.146830713146503
2,7,1,Szkoła podstawowa,2.4615384615384617,10.123287671232877,7.2714447764975505
2,7,1,Technikum,14.0,14.0,14.0
2,7,2,Przedszkole,8.333333333333334,9.857142857142858,9.095238095238095
2,7,2,Szkoła podstawowa,5.5,9.047619047619047,6.752976190476191
2,7,3,Gimnazjum,9.2,13.0,11.1
2,7,3,Przedszkole,11.23076923076923,11.571428571428571,11.401098901098901
2,7,3,Szkoła podstawowa,7.714285714285714,10.571428571428571,9.443722943722944
2,7,4,Przedszkole,14.0,14.0,14.0
2,7,4,Szkoła podstawowa,9.941176470588236,9.941176470588236,9.941176470588236
2,8,1,Gimnazjum,8.0,8.0,8.0
2,8,1,Liceum ogólnokształcące,2.769230769230769,2.769230769230769,2.769230769230769
2,8,1,Przedszkole,10.454545454545455,10.454545454545455,10.454545454545455
2,8,1,Szkoła podstawowa,7.5,7.5,7.5
2,8,2,Gimnazjum,3.0,8.2,5.1499999999999995
2,8,2,Liceum ogólnokształcące,1.65,21.375,9.563304988662132
2,8,2,Przedszkole,6.478260869565218,16.6,10.804643596569061
2,8,2,Szkoła podstawowa,1.6428571428571428,10.295454545454545,7.255467372956093
2,8,2,Technikum,8.59375,10.176470588235293,9.385110294117647
2,8,3,Gimnazjum,6.0,6.0,6.0
2,8,3,Liceum ogólnokształcące,8.166666666666666,8.166666666666666,8.166666666666666
2,8,3,Przedszkole,8.875,13.222222222222221,11.699074074074074
2,8,3,Szkoła podstawowa,1.5625,9.066666666666666,5.819791666666667
2,8,3,Technikum,6.0,6.0,6.0
2,8,4,Liceum ogólnokształcące,7.0,7.428571428571429,7.214285714285714
2,8,4,Przedszkole,7.6923076923076925,13.25,9.747985347985349
2,8,4,Szkoła podstawowa,2.642857142857143,12.609375,7.6984747023809526
2,8,4,Technikum,9.961538461538462,9.961538461538462,9.961538461538462
2,8,5,Gimnazjum,1.411764705882353,1.411764705882353,1.411764705882353
2,8,5,Przedszkole,8.444444444444445,12.0,10.148148148148147
2,8,5,Szkoła podstawowa,4.173913043478261,8.659574468085106,6.416743755781683
2,8,5,Technikum,6.25,6.25,6.25
2,8,6,Gimnazjum,7.916666666666667,7.916666666666667,7.916666666666667
2,8,6,Liceum ogólnokształcące,8.25,10.733333333333333,9.491666666666667
2,8,6,Przedszkole,17.42105263157895,17.42105263157895,17.42105263157895
2,8,6,Szkoła podstawowa,3.357142857142857,11.516129032258064,6.160359167334535
2,8,6,Technikum,8.647058823529411,8.647058823529411,8.647058823529411
2,8,7,Przedszkole,6.153846153846154,13.285714285714286,8.626800976800975
2,8,7,Szkoła podstawowa,0.6923076923076923,8.055555555555555,5.666600711949549
2,8,8,Gimnazjum,3.1818181818181817,3.1818181818181817,3.1818181818181817
2,8,8,Liceum ogólnokształcące,3.176470588235294,3.176470588235294,3.176470588235294
2,8,8,Przedszkole,10.692307692307692,10.692307692307692,10.692307692307692
2,8,8,Szkoła podstawowa,5.454545454545454,8.380952380952381,6.917748917748918
2,8,9,Gimnazjum,8.0,8.0,8.0
2,8,9,Przedszkole,12.25,12.25,12.25
2,8,9,Szkoła podstawowa,8.277777777777779,8.277777777777779,8.277777777777779
2,8,10,Przedszkole,13.142857142857142,13.75,13.446428571428571
2,8,10,Szkoła podstawowa,7.782608695652174,10.538461538461538,9.160535117056856
2,8,11,Gimnazjum,1.3333333333333333,3.5,2.4166666666666665
2,8,11,Przedszkole,6.0,16.333333333333332,9.987414965986394
2,8,11,Szkoła podstawowa,1.2222222222222223,12.375,6.2776429919287065
2,8,11,Technikum,4.62962962962963,4.62962962962963,4.62962962962963
2,8,12,Gimnazjum,0.42857142857142855,0.42857142857142855,0.42857142857142855
2,8,12,Przedszkole,4.6,9.4,7.25
2,8,12,Szkoła podstawowa,1.0,8.538461538461538,5.4354997943233245
2,8,13,Gimnazjum,4.166666666666667,4.166666666666667,4.166666666666667
2,8,13,Przedszkole,11.0,12.615384615384615,11.807692307692307
2,8,13,Szkoła podstawowa,9.0625,9.0625,9.0625
2,8,13,Technikum,4.0625,4.0625,4.0625
2,8,14,Gimnazjum,1.5384615384615385,5.0,3.269230769230769
2,8,14,Przedszkole,10.411764705882353,14.0,12.205882352941178
2,8,14,Szkoła podstawowa,3.8666666666666667,8.372093023255815,6.119379844961241
2,9,1,Gimnazjum,3.789473684210526,5.052631578947368,4.421052631578947
2,9,1,Liceum ogólnokształcące,5.25,5.25,5.25
2,9,1,Przedszkole,1.5,23.0,12.813333333333333
2,9,1,Szkoła podstawowa,8.705882352941176,11.338709677419354,10.022296015180265
2,9,1,Technikum,6.714285714285714,6.714285714285714,6.714285714285714
2,9,2,Przedszkole,9.428571428571429,9.428571428571429,9.428571428571429
2,9,2,Szkoła podstawowa,3.3125,8.142857142857142,5.628048132208349
2,9,3,Szkoła podstawowa,6.238095238095238,7.611111111111111,6.924603174603174
2,9,4,Przedszkole,9.2,9.2,9.2
2,9,4,Szkoła podstawowa,5.2105263157894735,8.68,6.7789086352244246
2,9,5,Gimnazjum,11.333333333333334,11.333333333333334,11.333333333333334
2,9,5,Przedszkole,10.933333333333334,10.933333333333334,10.933333333333334
2,9,5,Szkoła podstawowa,1.4285714285714286,9.852941176470589,5.640756302521009
2,9,6,Przedszkole,10.333333333333334,10.333333333333334,10.333333333333334
2,9,6,Szkoła podstawowa,7.7368421052631575,11.23076923076923,9.483805668016194
2,9,7,Przedszkole,9.173913043478262,9.173913043478262,9.173913043478262
2,9,7,Szkoła podstawowa,5.470588235294118,9.851851851851851,8.02176574333437
2,9,8,Szkoła podstawowa,7.290322580645161,7.290322580645161,7.290322580645161
2,10,1,Liceum ogólnokształcące,10.63888888888889,14.0,12.546296296296296
2,10,1,Przedszkole,6.444444444444445,48.0,14.859842118665648
2,10,1,Szkoła podstawowa,4.588235294117647,10.508771929824562,8.3476497195474
2,10,1,Technikum,4.4,11.085714285714285,8.476719576719576
2,10,2,Gimnazjum,11.2,11.2,11.2
2,10,2,Przedszkole,9.272727272727273,9.272727272727273,9.272727272727273
